연도,시도,시군구,사고[건],사망[명],부상[명],중상자[명],경상자[명],부상신고자[명]
2022,서울,동작구,304,5,309,82,204,23
2022,서울,관악구,285,6,293,95,188,10
2022,서울,강남구,782,7,795,182,561,52
2022,서울,강동구,265,3,267,86,163,18
2022,서울,송파구,520,3,534,155,346,33
2022,서울,서초구,434,4,445,116,310,19
2022,서울,양천구,261,7,259,86,152,21
2022,서울,중랑구,357,6,362,133,208,21
2022,서울,노원구,305,2,313,93,202,18
2022,서울,광진구,167,6,169,42,121,6
2022,서울,강북구,321,6,323,104,195,24
2022,서울,금천구,210,5,206,70,118,18
2022,부산,중구,116,2,117,46,65,6
2022,부산,서구,106,3,108,45,58,5
2022,부산,동구,143,2,144,63,77,4
2022,부산,영도구,103,1,106,56,49,1
2022,부산,진구,408,3,422,166,238,18
2022,부산,동래구,235,3,235,88,137,10
2022,부산,남구,192,5,188,90,86,12
2022,부산,북구,113,2,117,49,64,4
2022,부산,해운대구,194,3,198,86,97,15
2022,부산,사하구,196,2,202,108,89,5
2022,부산,금정구,249,4,253,91,151,11
2022,부산,강서구,60,3,58,27,30,1
2022,부산,연제구,151,3,151,59,85,7
2022,부산,수영구,196,3,198,71,116,11
2022,부산,사상구,157,4,161,75,79,7
2022,부산,기장군,96,4,97,42,52,3
2022,대구,중구,228,1,239,58,146,35
2022,대구,동구,271,4,273,83,165,25
2022,대구,서구,180,4,177,60,106,11
2022,대구,남구,126,1,136,46,79,11
2022,대구,북구,299,9,295,127,136,32
2022,대구,수성구,350,1,357,116,205,36
2022,대구,달서구,526,9,532,176,338,18
2022,대구,달성군,129,3,129,50,72,7
2022,대구,군위군,-,-,-,-,-,-
2022,인천,중구,88,5,84,31,44,9
2022,인천,동구,25,0,25,12,11,2
2022,인천,미추홀구,302,6,310,101,175,34
2022,인천,부평구,326,12,328,94,181,53
2022,인천,남동구,273,4,282,93,157,32
2022,인천,서구,296,6,306,79,208,19
2022,인천,연수구,95,0,101,35,64,2
2022,인천,계양구,103,4,104,29,73,2
2022,인천,강화군,31,2,29,11,16,2
2022,인천,옹진군,6,1,8,1,6,1
2022,광주,동구,150,4,153,42,105,6
2022,광주,서구,260,5,266,81,182,3
2022,광주,북구,398,9,400,123,263,14
2022,광주,광산구,304,7,311,82,218,11
2022,광주,남구,137,1,137,55,80,2
2022,대전,동구,200,6,201,75,122,4
2022,대전,중구,233,3,239,74,164,1
2022,대전,서구,468,4,481,144,325,12
2022,대전,유성구,203,4,206,56,141,9
2022,대전,대덕구,151,1,152,56,88,8
2022,울산,중구,145,3,150,68,79,3
2022,울산,남구,251,4,260,89,152,19
2022,울산,동구,132,1,134,54,71,9
2022,울산,북구,116,1,118,46,71,1
2022,울산,울주군,116,2,118,52,55,11
2022,세종,세종시,168,4,174,47,91,36
2022,경기,수원시,926,10,945,306,587,52
2022,경기,성남시,699,11,713,248,402,63
2022,경기,의정부시,389,5,397,93,246,58
2022,경기,안양시,240,4,244,111,127,6
2022,경기,부천시,756,11,771,233,493,45
2022,경기,안산시,526,6,541,194,317,30
2022,경기,평택시,561,15,566,169,337,60
2022,경기,광명시,167,4,175,56,110,9
2022,경기,구리시,118,0,128,45,80,3
2022,경기,양주시,142,4,147,44,90,13
2022,경기,여주시,76,3,76,27,42,7
2022,경기,화성시,441,13,451,163,245,43
2022,경기,시흥시,322,8,323,109,185,29
2022,경기,파주시,305,10,310,119,158,33
2022,경기,고양시,621,16,621,202,356,63
2022,경기,광주시,344,5,345,117,204,24
2022,경기,연천군,25,2,24,8,16,0
2022,경기,포천시,122,3,123,49,67,7
2022,경기,가평군,63,0,66,24,38,4
2022,경기,양평군,88,6,83,39,37,7
2022,경기,이천시,164,8,163,49,104,10
2022,경기,용인시,494,14,493,146,305,42
2022,경기,안성시,139,3,146,54,73,19
2022,경기,김포시,238,1,244,75,157,12
2022,경기,동두천시,49,2,50,15,31,4
2022,경기,과천시,24,1,23,8,15,0
